ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Lineage_0,Lineage_1,Lineage_2,Lineage_3,Lineage_4,Lineage_5,Isolate,WALS_Area,Autotyp,Country,Ancient,Papuan,Altitude,Eastness,Ethnologue_Ethnic_Population,Adjusted_Population,Social_Region
1,Beja,Africa,18.0,36.0,beja1238,bej,Afro-Asiatic,Cushitic,,,,,false,Africa,North Africa,SD,false,false,538.0,56.0,186000,186000,Africa_SubSaharan
2,Tamazight,Africa,33.0,-4.0,cent2194,tzm,Afro-Asiatic,Berber,,,,,false,Africa,North Africa,MA,false,false,915.0,16.0,3150000,3150000,MiddleOldWorld
3,Riff,Africa,34.0,-4.0,tari1263,rif,Afro-Asiatic,Berber,,,,,false,Africa,North Africa,MA,false,false,1002.0,16.0,1500000,1500000,MiddleOldWorld
4,Kabyle,Africa,36.5,5.0,kaby1243,kab,Afro-Asiatic,Berber,,,,,false,Africa,North Africa,DZ,false,false,1025.0,25.0,3126000,3126000,MiddleOldWorld
5,Tashelhiyt,Africa,31.0,-5.0,tach1250,shi,Afro-Asiatic,Berber,,,,,false,Africa,North Africa,MA,false,false,858.0,15.0,3000000,3000000,MiddleOldWorld
6,Zenaga,Africa,16.5,-16.0,zena1248,zen,Afro-Asiatic,Berber,,,,,false,Africa,West Africa,MR,false,false,5.0,4.0,200,200,MiddleOldWorld
7,Buduma,Africa,13.6,14.0,budu1265,bdm,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,TD,false,false,294.0,34.0,51600,51600,Africa_SubSaharan
8,Ga'anda,Africa,10.33,12.58,gaan1243,gqa,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,NG,false,false,382.0,32.58,43000,43000,Africa_SubSaharan
9,Gude,Africa,10.05,14.3,gude1246,gde,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,CM,false,false,601.0,34.3,68000,68000,Africa_SubSaharan
10,Margi,Africa,11.0,13.0,marg1265,mrt,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,NG,false,false,420.0,33.0,158000,158000,Africa_SubSaharan
11,Mofu,Africa,10.5,14.0,mofu1248,mif,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,CM,false,false,514.0,34.0,60000,60000,Africa_SubSaharan
