ID,Name,Description,datatype,min,max
Maximalonset,Maximal onset,How many C are allowed in the onset of a syllable,integer,0,6
Maximalcoda,Maximal coda,How many C are allowed in the coda of a syllable,integer,0,5
CVlanguage,CV language,Whether the language maximally allows CV syllables,boolean,,
CVClanguage,CVC language,Whether the language maximally allows CVC syllables,boolean,,
CCVlanguage,CCV language,Whether the language maximally allows CCV syllables,boolean,,
CCVClanguage,CCVC language,Whether the language maximally allows CCVC syllables,boolean,,
MaximalCVcontrasts,Maximal CV contrasts,,integer,0,26288
Arezeroonsetsallowed,Are zero onsets allowed?,Whether the language allows null onsets,boolean,,
Codasrequireonsets,Codas require onsets,Whether the presence of an onset can be predicted from the presence of a coda,boolean,,
OnsetsecondCispreferentiallyglide,Onset second C is preferentially glide,Whether the second consonant is preferentially a glide,boolean,,
AnyGlides,Any Glides?,Does the language have glides?,boolean,,
OnsetsecondCy,Onset second C = y,C2 glide is preferentially palatal?,boolean,,
OnsetsecondCw,Onset second C = w,C2 glide is preferentially labiovelar?,boolean,,
OnsetsecondCispreferentiallyliquid,Onset second C is preferentially liquid,Whether the second C is preferentially a liquid,boolean,,
Anyrhotics,Any rhotics?,Does the language have rhotics?,boolean,,
Anylaterals,Any laterals?,Does the language have laterals?,boolean,,
Liquidrlike,Liquid = r(-like),C2 liquid is preferentially rhotic?,boolean,,
Liquidelllike,Liquid = ell(-like),C2 liquid is preferentially lateral?,boolean,,
Codaptkglottal,Coda = p t k glottal,"Whether the code is preferentially a voiceless stop, such as [p], [t], [k] or [_]",boolean,,
Codaglottalstop,Coda = glottal stop,Whether the coda is preferentially a glottal stop,boolean,,
PalatalsAffricatestscetcallowedascoda,"Palatals/Affricates (ts, c etc.) allowed as coda","Whether the code can be [ts]~[t]~[c]: some sort of post-coronal, pre-velar plosive",boolean,,
Codanasal,Coda = nasal,Whether the coda is preferentially a nasal,boolean,,
Codang,Coda = ng,Whether the coda is preferentially a velar stop,boolean,,
Codarl,Coda = r l,Whether the coda is preferentially a liquid,boolean,,
Codas,Coda = s,Whether the code is preferentially [s],boolean,,
Codaglide,Coda = glide,Whether the code is preferentially a glide,boolean,,
C1inaCCcodanasal,C1 in a CC coda = nasal,Whether C1 in a coda of the form C1C2 C1 is preferentially nasal,boolean,,
C1inaCCcodaliquid,C1 in a CC coda = liquid,Whether C1 in a coda of the form C1C2 C1 is preferentially liquid,boolean,,
C1inaCCcodaglide,C1 in a CC coda = glide,Whether C1 in coda of the form C1C2 C1 is preferentially glide,boolean,,
C1inaCCcodaglottalstop,C1 in a CC coda = glottal stop,Whether C1 in a coda of the form C1C2 C1 is preferentially a glottal stop,boolean,,
C2inaCCcodas,C2 in a CC coda = s,Whether C2 in a coda of the form C1C2 C1 is preferentially /s/,boolean,,
Sesquisyllabicepenthesis,Sesquisyllabic epenthesis,Whether the language displays epenthesis between two initial consonants,boolean,,
Generalepenthesis,General epenthesis,Whether the language generally epenthesises vowels between two adjacent consonants,boolean,,
Syllabicconsonants,Syllabic consonants,Whether the language allows syllabic consonants,boolean,,
Syllabicnasals,Syllabic nasals,Whether the language allows syllabic nasals,boolean,,
Syllabicnonnasals,Syllabic non-nasals,Whether the language allows syllabic consonants other than nasals,boolean,,
Glottalstopsinonsets,Glottal stops in onsets?,Whether a glottal stop can occur in an onset,boolean,,
Glottalstopsincodas,Glottal stops in codas?,Whether a glottal stop can occur in a coda,boolean,,
Velarnasalsinonsets,Velar nasals in onsets?,Whether a velar nasal can occur in an onset,boolean,,
Velarnasalsincodas,Velar nasals in codas?,Whether a velar nasal can occur in a coda,boolean,,
Totalconsonants,Total consonants,,integer,0,106
Totalvowels,Total vowels,,integer,0,17
Tonalcontrasts,Tonal contrasts,,integer,0,12
Creakytones,Creaky tones,,integer,0,2
Breathytones,Breathy tones,,integer,0,3
Anybreathiness,Any breathiness,,integer,0,6
Totalobstruents,Total obstruents,,integer,0,55
Totalsonorants,Total sonorants,,integer,0,20
Totalegressiveconsonants,Total egressive consonants,,integer,0,71
Totalplosives,Total plosives,,integer,0,42
SupralaryngealPlosiveplaces,Supralaryngeal Plosive places,,integer,0,9
SupralaryngealPlosiveseries,Supralaryngeal Plosive series,Includes contrasting affricate series,integer,0,10
